"Curva","Sigma_p","k","Modularidade","NODF","Tribos","Comunidades"
"Disruptive",0.5,5,0.441,0.537,3,15
"Disruptive",0.5,10,0.279,1.249,1,11
"Disruptive",0.5,20,0.2,2.815,1,6
"Disruptive",1,5,0.446,0.657,3,14
"Disruptive",1,10,0.292,1.643,1,9
"Disruptive",1,20,0.222,3.41,1,7
"Disruptive",2,5,0.443,0.595,2,15
"Disruptive",2,10,0.283,1.322,1,10
"Disruptive",2,20,0.207,3.313,1,7
"Gaussian",0.5,5,0.445,0.624,2,13
"Gaussian",0.5,10,0.282,1.466,1,10
"Gaussian",0.5,20,0.208,3.506,1,6
"Gaussian",1,5,0.5,0.706,6,17
"Gaussian",1,10,0.33,1.831,1,11
"Gaussian",1,20,0.248,3.578,1,8
"Gaussian",2,5,0.637,0.828,19,32
"Gaussian",2,10,0.445,1.792,6,18
"Gaussian",2,20,0.322,3.35,1,10
"Random",0.5,5,0.44,0.541,1,13
"Random",0.5,10,0.274,1.254,1,10
"Random",0.5,20,0.203,4.001,1,6
"Random",1,5,0.44,0.569,3,14
"Random",1,10,0.274,1.177,1,10
"Random",1,20,0.203,4.137,1,5
"Random",2,5,0.44,0.53,1,14
"Random",2,10,0.274,1.39,1,13
"Random",2,20,0.203,4.366,1,6
"Sigmoid",0.5,5,0.44,0.502,2,14
"Sigmoid",0.5,10,0.275,1.299,1,11
"Sigmoid",0.5,20,0.193,2.541,1,6
"Sigmoid",1,5,0.441,0.594,5,17
"Sigmoid",1,10,0.276,1.29,1,8
"Sigmoid",1,20,0.196,2.656,1,6
"Sigmoid",2,5,0.459,0.71,3,14
"Sigmoid",2,10,0.289,1.421,1,10
"Sigmoid",2,20,0.207,3.711,1,7
