"Curva","sigma_p","modularity_k5","modularity_k10","modularity_k20","nestedness_k5","nestedness_k10","nestedness_k20","tribos_k5","tribos_k10","tribos_k20","comunidades_k5","comunidades_k10","comunidades_k20"
"Disruptive",0.5,0.458,0.321,0.313,0.687,2.155,2.138,3,1,1,15,11,10
"Disruptive",1,0.513,0.386,0.383,0.859,1.837,1.855,7,1,1,20,12,12
"Disruptive",2,0.479,0.329,0.329,0.686,1.934,1.838,4,1,1,15,10,11
"Gaussian",0.5,0.474,0.364,0.364,0.717,1.697,1.758,3,2,1,18,12,10
"Gaussian",1,0.578,0.472,0.473,0.838,1.466,1.456,10,5,3,24,17,18
"Gaussian",2,0.737,0.634,0.635,0.679,1.304,1.105,28,20,16,42,33,33
"Random",0.5,0.483,0.443,0.443,0.891,1.158,1.307,2,2,1,14,14,12
"Random",1,0.483,0.443,0.443,0.857,1.327,1.188,6,1,2,21,13,13
"Random",2,0.483,0.443,0.443,0.873,1.132,1.256,2,1,3,13,14,15
"Sigmoid",0.5,0.442,0.3,0.301,0.546,2.018,1.897,3,1,1,15,11,12
"Sigmoid",1,0.453,0.309,0.31,0.555,1.897,1.851,1,1,1,14,11,11
"Sigmoid",2,0.494,0.339,0.339,0.753,1.996,2.08,7,2,1,19,13,10
